"","X","id","scrape_id","source","host_id","host_name","host_since","host_response_rate","host_acceptance_rate","host_neighbourhood","host_listings_count","host_total_listings_count","host_verifications","host_has_profile_pic","host_identity_verified","neighbourhood","neighbourhood_cleansed","latitude","longitude","property_type","room_type","accommodates","bathrooms","bathrooms_text","bedrooms","beds","price","minimum_nights","maximum_nights","minimum_minimum_nights","maximum_minimum_nights","minimum_maximum_nights","maximum_maximum_nights","minimum_nights_avg_ntm","maximum_nights_avg_ntm","has_availability","availability_30","availability_60","availability_90","availability_365","calendar_last_scraped","number_of_reviews_ltm","number_of_reviews_l30d","availability_eoy","number_of_reviews_ly","estimated_occupancy_l365d","estimated_revenue_l365d","first_review","last_review","instant_bookable","calculated_host_listings_count","calculated_host_listings_count_entire_homes","calculated_host_listings_count_private_rooms","calculated_host_listings_count_shared_rooms","wifi","hair.dryer","hot.water","dishes.and.silverware","kitchen","iron","cooking.basics","hangers","refrigerator","bed.linens","essentials","heating","shampoo","microwave","hot.water.kettle","smoke.alarm","long.term.stays.allowed","shower.gel","dedicated.workspace","dining.table","f_room_type","f_room_type2","Czech_koruna_price_day","p_host_response_rate","p_host_acceptance_rate","accommodates_n","bathrooms_n","number_of_reviews_n","minimum_nights_n","beds_n","ln_price","accommodates2","ln_accommodates","ln_accommodates2","ln_number_of_reviews","f_bathroom","f_minimum_nights"
"1043",1471,17940120,20250316041547,"city scrape",107156148,"Lukáš","2016-12-13","100","100","Mala Strana",8,8,"['email', 'phone']",1,1,"Prague, Czech Republic, Czechia","Praha 1",50.0877647399902,14.409294128418,"Rental Unit","Entire home/apt",6,1.5,"1.5 baths",3,3,6469,2,1125,1,3,100,1125,1.8,104.8,"t",10,22,33,158,"2025-03-16",2,0,153,1,12,77628,"2017-04-16","2025-01-02",1,8,8,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,0,"Entire home/apt","Entire/Apt",6469,100,100,6,1.5,72,2,3,8.77477681604399,36,1.79175946922805,3.2104019955684,4.29045944114839,2,2
"1044",1472,17949569,20250316041547,"city scrape",45197409,"Patrick","2015-09-27","100","85","Prague 2",5,7,"['email', 'phone']",1,1,"Prague, Czechia","Praha 2",50.07216,14.4394,"Rental Unit","Entire home/apt",4,1,"1 bath",1,2,1523,3,1125,2,3,1125,1125,3,1125,"t",15,20,35,255,"2025-03-16",15,1,181,13,90,137070,"2017-05-28","2025-02-17",0,4,4,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,1,"Entire home/apt","Entire/Apt",1523,100,85,4,1,143,3,2,7.32843735289516,16,1.38629436111989,1.92181205567281,4.969813299576,2,3
"1045",1473,17955644,20250316041547,"city scrape",194096541,"Gregory","2018-06-07","N/A","N/A","",1,1,"['email', 'phone']",1,1,"Praha 3, Hlavní město Praha, Czechia","Praha 3",50.0901692932377,14.4606033838631,"Private Room","Private room",3,1.5,"1.5 shared baths",1,3,1057,2,7,2,2,7,7,2,7,"t",12,20,40,43,"2025-03-16",24,0,43,25,144,152208,"2017-06-19","2025-01-02",1,1,0,1,0,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,0,"Private room","Private",1057,-1,-1,3,1.5,86,2,3,6.96318998587024,9,1.09861228866811,1.20694896081258,4.46590811865458,2,2
"1046",1474,17967510,20250316041547,"city scrape",90874511,"Michal","2016-08-19","100","100","Staré Město",1,1,"['email', 'phone']",1,1,"Praha 1, Czechia","Praha 1",50.08185,14.41865,"Rental Unit","Entire home/apt",4,1,"1 bath",0,2,1932,1,18,1,4,1125,1125,1.4,1125,"t",10,21,27,210,"2025-03-16",37,3,138,47,222,428904,"2017-04-28","2025-03-10",0,1,1,0,0,1,1,1,1,1,1,1,1,1,1,0,1,0,1,0,0,1,0,1,0,"Entire home/apt","Entire/Apt",1932,100,100,4,1,269,1,2,7.56631101477246,16,1.38629436111989,1.92181205567281,5.59842195899838,2,1
"1047",1475,18286999,20250316041547,"city scrape",16606129,"Anna","2014-06-10","100","100","Karlín",5,6,"['email', 'phone']",1,1,"Prague 8, Czechia","Praha 8",50.09313,14.44629,"Rental Unit","Entire home/apt",3,1,"1 bath",0,2,1023,1,55,1,3,1125,1125,1,1125,"t",6,12,13,115,"2025-03-16",87,2,51,95,255,260865,"2017-04-24","2025-02-21",0,5,5,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,1,0,0,"Entire home/apt","Entire/Apt",1023,100,100,3,1,650,1,2,6.93049476595163,9,1.09861228866811,1.20694896081258,6.47850964220857,2,1
"1048",1477,18303496,20250316041547,"city scrape",1167781,"Benjamin","2011-09-16","91","94","Staré Město",44,44,"['email', 'phone', 'work_email']",1,1,"Prague, Czechia","Praha 1",50.08707,14.43399,"Rental Unit","Entire home/apt",14,2,"2 baths",3,10,6393,1,1125,1,4,1125,1125,2.7,1125,"t",2,12,26,294,"2025-03-16",1,0,220,1,6,38358,"2018-05-27","2024-04-22",0,44,44,0,0,1,1,1,1,1,1,1,1,1,0,1,1,0,1,0,1,1,0,1,0,"Entire home/apt","Entire/Apt",6393,91,94,14,2,20,1,10,8.76295892076673,196,2.63905732961526,6.96462358899602,3.04452243772342,3,1
"1049",1478,18316419,20250316041547,"city scrape",94768648,"Mira","2016-09-12","100","99","Prague 2",2,3,"['email', 'phone', 'work_email']",1,1,"","Praha 2",50.08202,14.4389,"Rental Unit","Entire home/apt",4,1.5,"1.5 baths",1,2,2157,1,1125,1,1,1125,1125,1,1125,"t",21,38,60,138,"2025-03-16",37,0,137,42,222,478854,"2017-05-17","2025-02-09",0,2,2,0,0,1,1,1,1,1,1,1,1,1,1,1,1,1,1,0,1,1,0,0,0,"Entire home/apt","Entire/Apt",2157,100,99,4,1.5,351,1,2,7.67647364638916,16,1.38629436111989,1.92181205567281,5.8636311755981,2,1
"1050",1480,18004919,20250316041547,"city scrape",63268394,"Hana","2016-03-16","100","92","Nusle",1,5,"['email', 'phone']",1,1,"Prague, Czechia","Praha 4",50.06192,14.44338,"Rental Unit","Entire home/apt",3,1,"1 bath",1,1,1340,5,1125,2,5,1125,1125,4.9,1125,"t",5,19,44,224,"2025-03-16",42,2,224,39,255,341700,"2017-04-17","2025-02-28",0,1,1,0,0,1,1,1,1,1,1,1,0,1,1,1,1,1,0,1,0,1,1,0,1,"Entire home/apt","Entire/Apt",1340,100,92,3,1,223,5,1,7.20042489294496,9,1.09861228866811,1.20694896081258,5.41164605185504,2,3
"1051",1481,18027226,20250316041547,"city scrape",3533590,"Andy","2012-09-11","100","100","Prague 2",8,9,"['email', 'phone']",1,1,"Prague, Czechia","Praha 2",50.07798,14.43487,"Rental Unit","Entire home/apt",4,1.5,"1.5 baths",2,3,3013,3,1122,2,3,1125,1125,3,1125,"t",21,31,31,228,"2025-03-16",40,0,154,40,240,723120,"2017-04-23","2025-01-05",1,7,7,0,0,1,1,1,1,1,1,1,1,1,0,0,1,1,1,0,0,0,0,0,0,"Entire home/apt","Entire/Apt",3013,100,100,4,1.5,163,3,3,8.0106915391303,16,1.38629436111989,1.92181205567281,5.0998664278242,2,3
"1052",1483,18029864,20250316041547,"city scrape",61392706,"Anezka","2016-03-03","100","89","Staré Město",15,15,"['email', 'phone']",0,1,"","Praha 1",50.08417,14.41612,"Rental Unit","Entire home/apt",6,2,"2 baths",3,4,5571,4,1125,4,4,1125,1125,4,1125,"t",29,36,36,36,"2025-03-16",3,0,36,3,24,133704,"2017-04-19","2024-12-30",0,15,15,0,0,1,1,0,1,1,1,1,1,0,1,1,1,0,1,1,0,0,0,1,0,"Entire home/apt","Entire/Apt",5571,100,89,6,2,20,4,4,8.62532985002082,36,1.79175946922805,3.2104019955684,3.04452243772342,3,3
